customer_id;first_name;middle_name;last_name;customer_phone;customer_email;other_customer_detail;customer_address;customer_state;customer_zip;customer_city
1;Millard;Grover;Johnson;620-608-3110;MJohnson@uswest.co.uk;;156 Great Lane;AK;28440;Jackson
2;William;Dwight;Clinton;193-953-2675;William.Clinton61@universal.co.uk;;55 Grove Crescent;NM;37651;Jefferson City
3;Ulysses;Woodrow;Carter;515-922-4591;Ulysses.Carter85@google.co.uk;;41 Severn Road;MT;76416;Baton Rouge
4;Harry;Grover;Pierce;160-467-1774;Harry.Pierce@google.co.uk;;180 Springfield Road;OK;24172;Lansing
5;John;Andrew;Roosevelt;331-938-7329;JRoosevelt@hotmail.co.uk;;26 St. John's Road;KY;34279;Lansing
6;Bill;Harry;Garfield;659-561-9483;BGarfield@mti.co.uk;;193 Trent Square;AK;26666;Tallahassee
7;John;Harry;Monroe;787-130-7475;JMonroe@comcast.co.uk;;1 Spey Street;MS;80036;Tallahassee
8;James;Lyndon;Adams;284-278-4921;James.Adams46@universal.co.uk;;157 London Road;AZ;90655;Columbus
9;Woodrow;Warren;Adams;916-737-2022;WAdams@mti.co.uk;;175 High Close;KS;71227;Juneau
10;Jimmy;Warren;Fillmore;180-653-3257;Jimmy.Fillmore84@google.com;;76 Richmond Avenue;OK;10769;Tallahassee
11;Jimmy;George;Eisenhower;859-751-2232;Jimmy.Eisenhower@mti.co.uk;;41 Avon Crescent;OH;74323;Atlanta
12;Benjamin;Calvin;Coolidge;814-954-4411;Benjamin.Coolidge@hotmail.co.uk;;36 Dee Crescent;AZ;32993;Pierre
13;Benjamin;Benjamin;Adams;784-394-9225;BAdams@google.com;;141 High Close;OR;70379;Annapolis
14;Jimmy;James;Carter;295-359-2449;JCarter@tbemailhost.com;;139 Queen Avenue;KY;92883;Springfield
15;William;Benjamin;Carter;462-598-9817;WCarter@mti.co.uk;;83 Grove Square;MO;78921;Bismarck
16;Andrew;Rutherford;Taft;313-237-6349;ATaft@comcast.co.uk;;184 Stanley Lane;DE;38381;Denver
17;Rutherford;James;Grant;569-318-7458;RGrant@mti.com;;129 Thames Road;NJ;84733;Concord
18;Richard;Benjamin;Jackson;145-361-1469;RJackson@mti.co.uk;;118 Great Street;NE;59347;Albany
19;Chester;Gerald;Jefferson;440-528-5532;Chester.Jefferson@uswest.co.uk;;195 Windsor Square;DE;76316;Trenton
20;Abraham;Andrew;Madison;114-189-6260;Abraham.Madison3@hotmail.co.uk;;163 King Crescent;NV;12079;Oklahoma City
21;John;Rutherford;Roosevelt;768-609-5335;JRoosevelt@comcast.com;;3 King Street;NE;99243;Madison
22;Abraham;William;Carter;468-271-2862;Abraham.Carter@universal.co.uk;;32 Church Close;HI;44065;Santa Fe
23;Calvin;Warren;Jackson;812-728-6102;CJackson@uswest.com;;169 Avon Avenue;IN;26921;Boise
24;Martin;Grover;Fillmore;340-843-5497;MFillmore@uswest.com;;173 School Square;NH;46234;Pierre
25;Calvin;John;Harrison;835-214-7489;Calvin.Harrison20@google.com;;164 Clyde Close;OH;85570;Columbus
26;Herbert;Zachary;Hoover;919-664-5074;HHoover@comcast.com;;195 Nene Lane;AZ;20625;Annapolis
27;William;Warren;Quincy;396-422-4993;William.Quincy@comcast.co.uk;;26 Main Street;OK;57023;Phoenix
28;George;Theodore;Adams;998-528-3331;George.Adams@hotmail.com;;198 Grange Square;SD;43505;Providence
29;William;Jimmy;Ford;498-799-5425;William.Ford@comcast.co.uk;;20 Manor Avenue;MD;60446;Concord
30;George;Gerald;Kennedy;162-546-7208;GKennedy@hotmail.com;;198 York Road;NH;17927;Hartford
31;Franklin;John;Grant;896-730-7992;FGrant@google.co.uk;;86 Boyne Crescent;FL;31162;Oklahoma City
32;Ronald;Martin;Lincoln;298-477-8410;Ronald.Lincoln65@hotmail.co.uk;;107 King Avenue;OH;84681;Jefferson City
33;Ulysses;Bill;Cleveland;909-711-8720;Ulysses.Cleveland19@universal.com;;93 Clyde Crescent;AZ;14480;Oklahoma City
34;Grover;Ulysses;Ford;621-970-5811;Grover.Ford@hotmail.com;;82 Spey Lane;ND;62382;Little Rock
35;Theodore;Jimmy;Roosevelt;258-719-1126;Theodore.Roosevelt88@comcast.co.uk;;88 Erne Street;IL;86091;Phoenix
36;Dwight;George;Arthur;148-150-9171;Dwight.Arthur22@tbemailhost.com;;69 Don Street;CA;70815;Boise
37;Andrew;Theodore;Kennedy;644-964-8452;AKennedy@universal.co.uk;;121 King Lane;MA;44973;Augusta
38;Warren;Calvin;Reagan;876-798-9619;Warren.Reagan6@yahoo.com;;111 Aire Avenue;VT;74136;Saint Paul
39;Rutherford;Lyndon;Eisenhower;703-592-5225;Rutherford.Eisenhower@uswest.com;;130 School Crescent;MI;98084;Hartford
40;Dwight;Andrew;Quincy;591-471-7075;Dwight.Quincy@uswest.com;;84 Queen Square;ME;33918;Columbus
41;Thomas;William;Taft;626-501-5152;Thomas.Taft19@comcast.com;;187 Main Avenue;IN;67554;Frankfort
42;William;Ronald;Harrison;129-547-1767;William.Harrison@universal.co.uk;;107 Church Road;SD;18308;Hartford
43;Herbert;Richard;Arthur;993-498-9110;Herbert.Arthur@google.com;;93 Clyde Avenue;ME;12633;Nashville
44;Rutherford;Jimmy;Cleveland;858-986-6796;Rutherford.Cleveland92@mti.co.uk;;107 George Close;NJ;78643;Topeka
45;Jimmy;Millard;Hoover;676-712-5994;JHoover@uswest.co.uk;;182 High Lane;VA;26559;Springfield
46;Harry;Ulysses;Harrison;952-417-4076;Harry.Harrison45@google.com;;159 Tees Lane;GA;77429;Little Rock
47;Woodrow;Millard;Washington;427-793-2640;WWashington@tbemailhost.com;;32 Nene Crescent;WI;61579;Des Moines
48;Zachary;Millard;Johnson;730-129-6740;Zachary.Johnson@mti.com;;162 Queen Square;ME;45895;Tallahassee
49;Martin;Calvin;Jefferson;183-768-2127;Martin.Jefferson41@google.co.uk;;154 Thames Road;WV;18803;Olympia
50;Herbert;Martin;Washington;314-942-6993;Herbert.Washington10@tbemailhost.com;;38 Thames Close;NM;61992;Indianapolis
51;Ulysses;George;Quincy;224-665-3901;UQuincy@yahoo.com;;76 Queens Avenue;WI;53159;Dover
52;Ulysses;Lyndon;McKinley;573-468-4418;Ulysses.McKinley@google.com;;54 Church Crescent;NH;77321;Helena
53;Martin;James;Adams;193-195-2154;Martin.Adams88@uswest.com;;118 Green Street;WI;22260;Richmond
54;Chester;Richard;Buchanan;803-683-3522;Chester.Buchanan4@mti.com;;55 Suir Crescent;VT;88537;Springfield
55;Theodore;Calvin;Jefferson;656-772-2696;TJefferson@universal.com;;178 Grange Lane;NH;95664;Olympia
56;Ronald;Herbert;Kennedy;508-367-7721;Ronald.Kennedy30@hotmail.com;;107 South Square;PA;99073;Phoenix
57;Millard;Abraham;Monroe;716-614-9314;Millard.Monroe@tbemailhost.com;;83 Boyne Avenue;WA;64901;Little Rock
58;James;Warren;Madison;892-584-4959;James.Madison97@comcast.co.uk;;174 Bann Avenue;VA;54125;Salt Lake City
59;Calvin;Zachary;Wilson;286-343-1971;Calvin.Wilson@uswest.com;;129 Suir Street;MN;28046;Topeka
